words,tf,idf,tfidf
let,4.0,4.675162557808126,18.700650231232505
new,10.0,4.4520190064939165,44.520190064939165
lost,7.0,4.808693950432649,33.66085765302854
carry,7.0,4.962844630259907,34.73991241181935
relax,12.0,4.269697449699962,51.23636939639954
prepared,8.0,4.962844630259907,39.702757042079256
travel,19.0,3.6191098835588127,68.76308778761744
drink,6.0,4.962844630259907,29.777067781559442
water,4.0,5.368309738368072,21.473238953472286
bottle,3.0,5.655991810819852,16.967975432459557
card,5.0,5.145166187053862,25.725830935269308
credit,3.0,5.655991810819852,16.967975432459557
flight,5.0,5.368309738368072,26.84154869184036
point,4.0,5.368309738368072,21.473238953472286
long,4.0,5.368309738368072,21.473238953472286
attraction,2.0,6.061456918928017,12.122913837856034
afraid,11.0,4.356708826689592,47.923797093585506
break,2.0,6.061456918928017,12.122913837856034
everything,10.0,4.4520190064939165,44.520190064939165
make,7.0,4.808693950432649,33.66085765302854
effort,2.0,6.061456918928017,12.122913837856034
research,28.0,3.4587672334836332,96.84548253754173
find,4.0,5.368309738368072,21.473238953472286
keep,6.0,4.962844630259907,29.777067781559442
well,4.0,5.368309738368072,21.473238953472286
fuck,2.0,6.061456918928017,12.122913837856034
change,4.0,5.368309738368072,21.473238953472286
self,2.0,6.061456918928017,12.122913837856034
day,7.0,4.962844630259907,34.73991241181935
eat,13.0,3.8101651203215217,49.53214656417978
around,3.0,5.655991810819852,16.967975432459557
native,2.0,6.061456918928017,12.122913837856034
best,5.0,5.145166187053862,25.725830935269308
backpack,4.0,5.368309738368072,21.473238953472286
free,3.0,5.655991810819852,16.967975432459557
tour,2.0,4.356708826689592,8.713417653379183
little,5.0,5.145166187053862,25.725830935269308
flow,15.0,4.046553898385752,60.69830847578628
wing,2.0,6.061456918928017,12.122913837856034
idea,2.0,6.061456918928017,12.122913837856034
somewhere,4.0,5.368309738368072,21.473238953472286
worry,6.0,4.962844630259907,29.777067781559442
never,9.0,4.557379522151743,41.01641569936569
important,2.0,6.061456918928017,12.122913837856034
you,6.0,4.356708826689592,26.140252960137552
itinerant,3.0,5.655991810819852,16.967975432459557
alert,2.0,6.061456918928017,12.122913837856034
follow,2.0,6.061456918928017,12.122913837856034
city,6.0,4.962844630259907,29.777067781559442
spontaneous,5.0,5.145166187053862,25.725830935269308
bring,10.0,4.557379522151743,45.57379522151743
blend,2.0,6.061456918928017,12.122913837856034
hotel,4.0,5.368309738368072,21.473238953472286
outside,2.0,6.061456918928017,12.122913837856034
big,3.0,5.655991810819852,16.967975432459557
restaurant,2.0,6.061456918928017,12.122913837856034
smart,2.0,6.061456918928017,12.122913837856034
arrived,2.0,6.061456918928017,12.122913837856034
better,6.0,5.368309738368072,32.20985843020843
allow,3.0,5.655991810819852,16.967975432459557
every,4.0,4.1155467698727035,16.462187079490814
stuff,6.0,5.145166187053862,30.87099712232317
small,6.0,5.145166187053862,30.87099712232317
safe,5.0,5.145166187053862,25.725830935269308
worst,2.0,6.061456918928017,12.122913837856034
island,2.0,6.061456918928017,12.122913837856034
talk,7.0,4.808693950432649,33.66085765302854
even,3.0,5.655991810819852,16.967975432459557
your,5.0,5.145166187053862,25.725830935269308
roll,2.0,6.061456918928017,12.122913837856034
wrong,3.0,5.655991810819852,16.967975432459557
look,6.0,4.962844630259907,29.777067781559442
beforehand,4.0,5.368309738368072,21.473238953472286
stick,3.0,5.655991810819852,16.967975432459557
arrive,4.0,4.962844630259907,19.851378521039628
site,2.0,6.061456918928017,12.122913837856034
early,5.0,5.145166187053862,25.725830935269308
budget,2.0,6.061456918928017,12.122913837856034
comfortable,2.0,6.061456918928017,12.122913837856034
many,5.0,5.145166187053862,25.725830935269308
tourist,9.0,4.557379522151743,41.01641569936569
improvised,2.0,6.061456918928017,12.122913837856034
different,4.0,5.368309738368072,21.473238953472286
hostel,5.0,5.145166187053862,25.725830935269308
push,2.0,6.061456918928017,12.122913837856034
meet,4.0,5.368309738368072,21.473238953472286
expect,3.0,4.675162557808126,14.02548767342438
luggage,4.0,5.368309738368072,21.473238953472286
